UNIQUE_ID,TERMINAL,NEAR_GATE,NAME,TIMES,OPEN,CLOSE,TYPE,PRICE,B,V,GF,SPEED,LOGO,MENU_WEBSITE
1,A,A12,Belgian Beer Café,Daily,6:00 AM,8:00 PM,Kiosk,$,NO,,,To-go,http://www.corkscapsandtaps.com/wp-content/uploads/2012/09/belgian-beer-cafe-logo.jpg,http://www.belgianbeercafe.us/
2,A,A1 - A15,Blaze Pizza,Daily,6:00 AM,10:00 PM,Pizza/Italian,$,NO,YES,YES,Food court,http://66.media.tumblr.com/5b1bcc1a6516662b979cef476be77dda/tumblr_inline_ni8d7tl3l61r08h92.jpg,http://www.blazepizza.com/menu/
3,A,A17 - A30,Brookwood Farms,Daily,6:00 AM,9:00 PM,BBQ/Southern,$$,NO,,,Food court,http://rfwall.com/images/Logos/BrookwoodFarms_OfficialLOGO.png,http://brookwoodfarms.com/index.php/products/
4,A,A17 - A30,Chili's Too,Daily,5:00 AM,10:00 PM,American,$$,NO,YES,,Food court,http://2c2f06a14a9ade4267e6-fb8aac3b3bf42afe824f73b606f0aa4c.r92.cf1.rackcdn.com/tenantlogos/12924.png,http://www.chilis.com/EN/Pages/home.aspx
5,A,A1 - A15,Jetbox Market,Daily,5:00 AM,9:00 PM,Coffee/Breakfast,$,NO,,,Food court,,
6,A,A1 - A15,Mango Taco Truck,Daily,5:00 AM,9:00 PM,Mexican,$,NO,YES,,Food court,,
7,A,A1 - A15,Re+Barᴺᵒ9,Daily,5:00 AM,9:00 PM,American,$$,NO,,,Sit-down,,
8,A,A26,Re+Barᴺᵒ9,Daily,5:00 AM,8:30 PM,American,$$,NO,,,Sit-down,,
9,A,Pre-security,Starbucks,Daily,5:00 AM,9:00 PM,Coffee/Breakfast,$,NO,YES,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Starbucks_Coffee_Logo.svg/1024px-Starbucks_Coffee_Logo.svg.png,http://www.starbucks.com/
10,A,A1 - A15,Starbucks,Daily,4:45 AM,10:00 PM,Coffee/Breakfast,$,NO,YES,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Starbucks_Coffee_Logo.svg/1024px-Starbucks_Coffee_Logo.svg.png,http://www.starbucks.com/
11,A,A17 - A30,Starbucks,Daily,4:35 AM,10:00 PM,Coffee/Breakfast,$,NO,YES,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Starbucks_Coffee_Logo.svg/1024px-Starbucks_Coffee_Logo.svg.png,http://www.starbucks.com/
12,A,A17 - A30,Urban Market,Daily,6:00 AM,9:30 PM,Kiosk,$$,NO,YES,,To-go,http://www.broward.org/Airport/Terminals/PublishingImages/UrbanMarket.jpg,
13,A,A17 - A30,Wendy's,Daily,4:00 AM,10:00 PM,American,$,NO,,,To-go,http://www.theblaze.com/wp-content/uploads/2013/07/ScreenSnapz047.jpg,https://www.wendys.com/
14,B,B1 - B31,3rd Bar Eating House,Daily,6:30 AM,10:00 PM,Seafood,$$,NO, ,,To-go,,http://www.hmshost.com/brands/3rd-bar-eating-house#
15,B,B1 - B31,Barcüterie,Daily,7:00 AM,9:00 PM,American,$$,NO,,,Sit-down,,
16,B,Post-security,Brookwood Farms,Daily,6:00 AM,9:00 PM,BBQ/Southern,$$,NO,,,Food court,http://rfwall.com/images/Logos/BrookwoodFarms_OfficialLOGO.png,http://brookwoodfarms.com/index.php/products/
17,B,B1 - B31,Bullritos,Daily,6:00 AM,9:30 PM,Mexican,$,NO,,,To-go,http://uptowndiamond.com/wp-content/uploads/2013/08/logo1.png,http://www.bullritos.com/menu/
18,B,B84 - B88,Cafe Adobe,Daily,6:00 AM,9:00 PM,Mexican,$$,NO,,,Sit-down,https://cbshouston.files.wordpress.com/2011/09/cafe_adobe_logo_54.jpg,http://cafeadobe.com/menu/
19,B,B83,Craft Tavern,Daily,6:00 AM,9:00 PM,Kiosk,$,NO,,,To-go,,
20,B,B1 - B31,Famous Famiglia,Daily,6:00 AM,9:30 PM,Pizza/Italian,$,NO,,,To-go,http://famousfamiglia.com/wp-content/uploads/2014/11/WebSite_logo-e1419021752206.png,http://famousfamiglia.com/our-lunchdinner-menu/
21,B,B1 - B31,Fresh Gourmet Marketplace,Daily,12:00 AM,12:00 AM,Kiosk,$,NO,YES,,To-go,,
22,B,Post-security,Jetbox Market,Daily,6:00 AM,9:00 PM,Coffee/Breakfast,$,NO,,,Food court,,
23,B,Post-security,Mango Taco Truck,Daily,5:30 AM,9:00 PM,Mexican,$,NO,YES,,Food court,,
24,B,B1 - B31,Panda Express,Daily,7:00 AM,9:30 PM,Asian,$,NO,,,To-go,https://lh3.ggpht.com/o_9NahZqWnwDKnjKvGgkUnABsqKB5ACiqYGrcKUAd5YvF0yMkeL8vCnNFSpr1Es_UiCc=w300,https://www.pandaexpress.com/menu
25,B,Pre-security,Peet's Coffee & Tea,Daily,5:00 AM,10:00 PM,Coffee/Breakfast,$,NO,YES,,To-go,http://mms.businesswire.com/media/20151030005521/en/493843/5/peets_lg_cmyk_vert.jpg,http://www.peets.com/stores.html
26,B,B84 - B88,Peet's Coffee & Tea,Daily,6:00 AM,10:00 PM,Coffee/Breakfast,$,NO,YES,,To-go,http://mms.businesswire.com/media/20151030005521/en/493843/5/peets_lg_cmyk_vert.jpg,http://www.peets.com/stores.html
27,B,B88,Re+Barᴺᵒ9,Daily,6:00 AM,9:00 PM,American,$$,NO,,,Sit-down,,
28,B,B1 - B31,Starbucks,Daily,5:00 AM,10:00 PM,Coffee/Breakfast,$,NO,YES,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Starbucks_Coffee_Logo.svg/1024px-Starbucks_Coffee_Logo.svg.png,http://www.starbucks.com/
29,B,B1 - B31,The Frutería,Daily,6:30 AM,9:00 PM,Mexican,$,NO,,,To-go,https://mark.trademarkia.com/logo-images/the-fruteria-y-botanero-by-chef-johnny-hernandez/the-fruteria-y-botanero-by-chef-johnny-hernandez-85816159.jpg,http://chefjohnnyhernandez.com/thefruteria/menu.php
30,B,B1 - B31,Whataburger,Daily,6:00 AM,9:30 PM,American,$,NO,,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Whataburger_logo.svg/1082px-Whataburger_logo.svg.png,http://whataburger.com/food
31,C,C14,Camden food co.,Daily,6:00 AM,9:30 PM,Healthy,$,NO,YES,YES,To-go,http://www.san.org/portals/_default/skins/sdairport/images/stores/Camden-food-co-Logo.png,http://www.camdenfoodco.com/
32,C,C43,Center Bar,Daily,12:00 PM,9:30 PM,Bar,$,YES,,,Sit-down,,
33,C,C42,Einstein Bros. Bagels,Daily,5:00 AM,9:30 PM,Coffee/Breakfast,$,NO,,,To-go,https://upload.wikimedia.org/wikipedia/en/6/69/Einstein_Bros._Bagels_logo.png,http://www.einsteinbros.com/menu/bagels-and-shmear
34,C,Baggage Claim,Jetbox Market,Daily,6:00 AM,9:00 PM,Coffee/Breakfast,$,,,,To-go,,
35,C,C42,La Salsa,Daily,6:00 AM,9:00 PM,Mexican,$,,,,To-go,,
36,C,C33,Le Grand Comptoir,Daily,6:00 AM,9:30 PM,French/Bistro,$$$,,YES,YES,Sit-down,,
37,C,C23,Mango Taco Truck,Daily,6:00 AM,9:30 PM,Mexican,$,,YES,,Food court,,
38,C,C33,Panopolis,Daily,6:00 AM,9:30 PM,Deli,$,,,,To-go,,
39,C,C34,Pink's Pizza,Daily,6:00 AM,10:00 PM,Pizza/Italian,$,,YES,,To-go,http://www.houstonheightsrestaurants.com/wp-content/uploads/18.-Pinks-Pizza.jpg,http://pinkspizza.com/
40,C,C23,Pizza Vino,Daily,5:00 AM,9:30 PM,Pizza/Italian,$,,,,To-go,,
41,C,C23,Popeyes,Daily,6:00 AM,9:30 PM,BBQ/Southern,$,,,,To-go,http://www.underconsideration.com/brandnew/archives/popeyes_crest.jpg,https://popeyes.com/menu/
42,C,C42,Rocket & Rye,Daily,6:00 AM,10:00 PM,American,$$,YES,,,Sit-down,,
43,C,C14,Starbucks,Daily,4:30 AM,9:30 PM,Coffee/Breakfast,$,,YES,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Starbucks_Coffee_Logo.svg/1024px-Starbucks_Coffee_Logo.svg.png,http://www.starbucks.com/
44,C,C33,Starbucks,Daily,5:00 AM,9:30 PM,Coffee/Breakfast,$,,YES,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Starbucks_Coffee_Logo.svg/1024px-Starbucks_Coffee_Logo.svg.png,http://www.starbucks.com/
45,C,C23,Subway,Daily,6:00 AM,9:30 PM,Deli,$,,YES,,To-go,https://lh3.ggpht.com/aluxicFrvIX6f_2pCUzkJwYBupajlKpKSx--8-ONehALKP_ELhqmvXIuGM8VqTi4SA=w300,http://www.subway.com/en-us/menunutrition/menu
46,C,C23,The Locat at IAH,Daily,6:00 AM,9:00 PM,American,$$,YES,YES,,Sit-down,,
47,C,C34,the Real Food company,Daily,6:00 AM,9:30 PM,BBQ/Southern,$,,YES,,To-go,,
48,C,C43,Upper Crust,Daily,6:00 AM,9:30 PM,Deli,$,,,,To-go,,
49,C,C33,Urban Crave,Daily,6:00 AM,9:30 PM,American,$,YES,,,Sit-down,,
50,C,C42,Wendy's,Daily,6:00 AM,10:00 PM,American,$,,,,To-go,http://www.theblaze.com/wp-content/uploads/2013/07/ScreenSnapz047.jpg,https://www.wendys.com/
51,D,D6,Houston Burger Company,Daily,5:30 AM,12:00 AM,American,$$,YES,,,Sit-down,,
52,D,D6,Peet's Coffee & Tea,Daily,5:00 AM,10:00 PM,Coffee/Breakfast,$,,YES,,To-go,http://mms.businesswire.com/media/20151030005521/en/493843/5/peets_lg_cmyk_vert.jpg,http://www.peets.com/stores.html
53,D,D9,Re+Barᴺᵒ9,Daily,9:30 AM,7:30 PM,American,$$,YES,,,Sit-down,,
54,D,Pre-security,Starbucks,Daily,6:00 AM,10:00 PM,Coffee/Breakfast,$,,YES,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Starbucks_Coffee_Logo.svg/1024px-Starbucks_Coffee_Logo.svg.png,http://www.starbucks.com/
55,E,E12,Auntie Anne's / Nestle Toll House Café,Daily,6:30 AM,9:30 PM,Munchies/Treats,$,,YES,,To-go,http://www.eatz-associates.com/wp-content/uploads/Auntie-Annies-Logo.jpg,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwj694rIseLNAhUr8IMKHTZzBE4QjBAIKDAC&url=http%3A%2F%2Fwww.auntieannes.com%2Fpretzels-nutrition&usg=AFQjCNEXY_A0RbelMabOguib7M4MwCB-lw&sig2=s3s7ZmetO4GH7cYZ0pH2Tw&bvm=bv.126130881,d.amc"
56,E,E10,Cat Cora's Kitchen,Daily,6:30 AM,10:00 PM,BBQ/Southern,$$$,,YES,,Sit-down,https://pbs.twimg.com/profile_images/1652293672/CCKITCHEN_HBF_Logo__June_2011-page-001.jpg,http://catcora.com/restaurants/
57,E,E12,Cinnabon,Daily,6:30 AM,9:30 PM,Munchies/Treats,$,,,,To-go,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/112010/cinnabon_cmyk.jpeg?itok=YmsTYYiB,http://www.cinnabon.com/bakery-treats
58,E,E11,Dunkin' Donuts,Daily,5:00 AM,10:00 PM,Coffee/Breakfast,$,,,,To-go,https://pbs.twimg.com/profile_images/2736945628/abec46cc319c683508d6114d2c181a3e_400x400.png,http://www.dunkindonuts.com/dunkindonuts/en/menu.html
59,E,E1,Einstein Bros. Bagels,Daily,5:00 AM,10:00 PM,Coffee/Breakfast,$,,,,Food court,https://upload.wikimedia.org/wikipedia/en/6/69/Einstein_Bros._Bagels_logo.png,http://www.einsteinbros.com/menu/bagels-and-shmear
60,E,E1,Famous Famiglia,Daily,5:00 AM,11:00 PM,Pizza/Italian,$,,,,Food court,http://famousfamiglia.com/wp-content/uploads/2014/11/WebSite_logo-e1419021752206.png,http://famousfamiglia.com/our-lunchdinner-menu/
61,E,E18,Fresh Gourmet,Daily,6:00 AM,9:00 PM,Kiosk,$,,,,To-go,,
62,E,E1,La Tapenade Mediterranean Café,Daily,6:00 AM,9:30 PM,Mediterranean,$,,YES,,Food court,,
63,E,E19,Le Grand Comptoir,Daily,6:00 AM,9:00 PM,French/Bistro,$$$,,YES,YES,Sit-down,,
64,E,E24,Nature's Kitchen Fresh Cafe,Daily,5:00 AM,9:00 PM,Healthy,$,,YES,,To-go,,
65,E,E1,Panda Express,Daily,6:00 AM,10:00 PM,Asian,$,,,,Food court,https://lh3.ggpht.com/o_9NahZqWnwDKnjKvGgkUnABsqKB5ACiqYGrcKUAd5YvF0yMkeL8vCnNFSpr1Es_UiCc=w300,https://www.pandaexpress.com/menu
66,E,E3,Pappadeux Seafood Kitchen,Daily,9:00 AM,10:00 PM,Seafood,$$,,YES,YES,Sit-down,http://www.restaurantguideatlanta.com/images/pappadeauxlogo3.jpg,https://pappadeaux.com/menu/
67,E,E1,Pappasito's Cantina,Daily,6:00 AM,10:00 PM,Mexican,$$,,YES,,Food court,https://b.yipitcdn.com/nationbiz/pappasitos-cantina-1385369153.jpg,http://pappasitos.com/menu/
68,E,E16,Republic Grille,Daily,5:00 AM,9:30 PM,American,$$,,,YES,Sit-down,,
69,E,Post-security,Ruby's Diner,Daily,5:30 AM,10:00 PM,American,$$,YES,,,To-go,https://upload.wikimedia.org/wikipedia/commons/b/b4/Ruby_on_Ruby_2.jpg,http://www.rubys.com/menu/index.html
70,E,E2,Starbucks,Daily,5:00 AM,11:00 PM,Coffee/Breakfast,$,,YES,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Starbucks_Coffee_Logo.svg/1024px-Starbucks_Coffee_Logo.svg.png,http://www.starbucks.com/
71,E,E24,Starbucks,Daily,5:00 AM,9:00 PM,Coffee/Breakfast,$,,YES,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Starbucks_Coffee_Logo.svg/1024px-Starbucks_Coffee_Logo.svg.png,http://www.starbucks.com/
72,E,E1,The Market by Villa,Daily,6:00 AM,10:00 PM,Deli,$,,YES,,Food court,,
73,E,E6,Urban Crave,Daily,6:00 AM,10:00 PM,American,$,YES,,,Sit-down,,
74,E,E24,Wendy's,Daily,5:00 AM,9:00 PM,American,$,,,,To-go,http://www.theblaze.com/wp-content/uploads/2013/07/ScreenSnapz047.jpg,https://www.wendys.com/
75,E,E1,Yogen Früz,Daily,5:00 AM,10:00 PM,Munchies/Treats,$,,,,To-go,,
76,E,E24,Zori Bistro,Daily,5:00 AM,9:00 PM,Asian,$,,YES,YES,To-go,,
77,E,Int'l Arrivals,Starbucks,Daily,6:30 AM,9:30 PM,Coffee/Breakfast,$,,YES,,To-go,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Starbucks_Coffee_Logo.svg/1024px-Starbucks_Coffee_Logo.svg.png,http://www.starbucks.com/
78,E,E1,Subway,Daily,6:00 AM,9:30 PM,Deli,$,,YES,,To-go,https://lh3.ggpht.com/aluxicFrvIX6f_2pCUzkJwYBupajlKpKSx--8-ONehALKP_ELhqmvXIuGM8VqTi4SA=w300,http://www.subway.com/en-us/menunutrition/menu